"","Verb","Tense","Person","Number","Data.point","Forms","Radical"
"217","Devoir","INF/PART",1,"sg","Cellefrouin","dəvɛr",NA
"218","Devoir","INF/PART",2,"sg","Cellefrouin","dəɡy",NA
"219","Devoir","INF/PART",3,"sg","Cellefrouin","dəɡy",NA
"220","Devoir","INF/PART",1,"pl","Cellefrouin","dəɡyd",NA
"221","Devoir","INF/PART",2,"pl","Cellefrouin","dəɡyd",NA
"222","Devoir","INF/PART",3,"pl","Cellefrouin","ã dəvã",NA
"223","Faire","INF/PART",1,"sg","Cellefrouin","fer",NA
"224","Faire","INF/PART",2,"sg","Cellefrouin","fa",NA
"225","Faire","INF/PART",3,"sg","Cellefrouin","fa",NA
"226","Faire","INF/PART",1,"pl","Cellefrouin","fat",NA
"227","Faire","INF/PART",2,"pl","Cellefrouin","fat",NA
"228","Faire","INF/PART",3,"pl","Cellefrouin","ã fazã",NA
"229","Venir","INF/PART",1,"sg","Cellefrouin","v(ə)ni",NA
"230","Venir","INF/PART",2,"sg","Cellefrouin","vɛ̃ɡy",NA
"231","Venir","INF/PART",3,"sg","Cellefrouin","vɛ̃ɡy",NA
"232","Venir","INF/PART",1,"pl","Cellefrouin","vɛ̃ɡyd",NA
"233","Venir","INF/PART",2,"pl","Cellefrouin","vɛ̃ɡyd",NA
"234","Venir","INF/PART",3,"pl","Cellefrouin","ã v(ə)nã",NA
"235","Tenir","INF/PART",1,"sg","Cellefrouin","t(ə)ni",NA
"236","Tenir","INF/PART",2,"sg","Cellefrouin","tɛ̃ɡy",NA
"237","Tenir","INF/PART",3,"sg","Cellefrouin","tɛ̃ɡy",NA
"238","Tenir","INF/PART",1,"pl","Cellefrouin","tɛ̃ɡyd",NA
"239","Tenir","INF/PART",2,"pl","Cellefrouin","tɛ̃ɡyd",NA
"240","Tenir","INF/PART",3,"pl","Cellefrouin","ã t(ə)nã",NA
"241","Dire","INF/PART",1,"sg","Cellefrouin","dir",NA
"242","Dire","INF/PART",2,"sg","Cellefrouin","di",NA
"243","Dire","INF/PART",3,"sg","Cellefrouin","di",NA
"244","Dire","INF/PART",1,"pl","Cellefrouin","dit",NA
"245","Dire","INF/PART",2,"pl","Cellefrouin","dit",NA
"246","Dire","INF/PART",3,"pl","Cellefrouin","ã dizã",NA
"247","Croire","INF/PART",1,"sg","Cellefrouin","krer",NA
"248","Croire","INF/PART",2,"sg","Cellefrouin","kreɡy",NA
"249","Croire","INF/PART",3,"sg","Cellefrouin","kreɡy",NA
"250","Croire","INF/PART",1,"pl","Cellefrouin","kreɡyd",NA
"251","Croire","INF/PART",2,"pl","Cellefrouin","kreɡyd",NA
"252","Croire","INF/PART",3,"pl","Cellefrouin","ã krejã",NA
"253","Prendre","INF/PART",1,"sg","Cellefrouin","prãdr",NA
"254","Prendre","INF/PART",2,"sg","Cellefrouin","pre",NA
"255","Prendre","INF/PART",3,"sg","Cellefrouin","pre",NA
"256","Prendre","INF/PART",1,"pl","Cellefrouin","prɛz",NA
"257","Prendre","INF/PART",2,"pl","Cellefrouin","prɛz",NA
"258","Prendre","INF/PART",3,"pl","Cellefrouin","ã prœnã",NA
"259","Voir","INF/PART",1,"sg","Cellefrouin","ver",NA
"260","Voir","INF/PART",2,"sg","Cellefrouin","vy",NA
"261","Voir","INF/PART",3,"sg","Cellefrouin","vy",NA
"262","Voir","INF/PART",1,"pl","Cellefrouin","vyd",NA
"263","Voir","INF/PART",2,"pl","Cellefrouin","vyd",NA
"264","Voir","INF/PART",3,"pl","Cellefrouin","ã v(ə)jã",NA
"265","Chanter","INF/PART",1,"sg","Dompierre","ʃãta",NA
"266","Chanter","INF/PART",2,"sg","Dompierre","ʃãta",NA
"267","Chanter","INF/PART",3,"sg","Dompierre","ʃãta",NA
"268","Chanter","INF/PART",1,"pl","Dompierre","ʃãtad",NA
"269","Chanter","INF/PART",2,"pl","Dompierre","ʃãtad(ɑ)",NA
"270","Chanter","INF/PART",3,"pl","Dompierre","ã ʃãtã",NA
"271","Lier","INF/PART",1,"sg","Dompierre","ja",NA
"272","Lier","INF/PART",2,"sg","Dompierre","ja",NA
"273","Lier","INF/PART",3,"sg","Dompierre","ja",NA
"274","Lier","INF/PART",1,"pl","Dompierre","jad",NA
"275","Lier","INF/PART",2,"pl","Dompierre","jad(ɑ)",NA
"276","Lier","INF/PART",3,"pl","Dompierre","ã jã",NA
"277","Couver","INF/PART",1,"sg","Dompierre","kwa",NA
"278","Couver","INF/PART",2,"sg","Dompierre","kwa",NA
"279","Couver","INF/PART",3,"sg","Dompierre","kwa",NA
"280","Couver","INF/PART",1,"pl","Dompierre","kwad",NA
"281","Couver","INF/PART",2,"pl","Dompierre","kwad(ɑ)",NA
"282","Couver","INF/PART",3,"pl","Dompierre","ã kwã",NA
"283","Acheter","INF/PART",1,"sg","Dompierre","aʃ(ə)ta",NA
"284","Acheter","INF/PART",2,"sg","Dompierre","aʃ(ə)ta",NA
"285","Acheter","INF/PART",3,"sg","Dompierre","aʃ(ə)ta",NA
"286","Acheter","INF/PART",1,"pl","Dompierre","aʃ(ə)tad",NA
"287","Acheter","INF/PART",2,"pl","Dompierre","aʃ(ə)tad(ɑ)",NA
"288","Acheter","INF/PART",3,"pl","Dompierre","ãaʃ(ə)tã",NA
"289","Aller","INF/PART",1,"sg","Dompierre","na",NA
"290","Aller","INF/PART",2,"sg","Dompierre","na",NA
"291","Aller","INF/PART",3,"sg","Dompierre","na",NA
"292","Aller","INF/PART",1,"pl","Dompierre","nad",NA
"293","Aller","INF/PART",2,"pl","Dompierre","nad(ɑ)",NA
"294","Aller","INF/PART",3,"pl","Dompierre","ãanã",NA
"295","Blanchir","INF/PART",1,"sg","Dompierre","blãʃir",NA
"296","Blanchir","INF/PART",2,"sg","Dompierre","blãʃi",NA
"297","Blanchir","INF/PART",3,"sg","Dompierre","blãʃi",NA
"298","Blanchir","INF/PART",1,"pl","Dompierre","blãʃid",NA
"299","Blanchir","INF/PART",2,"pl","Dompierre","blãʃid(ɑ)",NA
"300","Blanchir","INF/PART",3,"pl","Dompierre","ã blãʃisã",NA
"301","Couvrir","INF/PART",1,"sg","Dompierre","kuvrir",NA
"302","Couvrir","INF/PART",2,"sg","Dompierre","kuvɛr",NA
"303","Couvrir","INF/PART",3,"sg","Dompierre","kuvɛr",NA
"304","Couvrir","INF/PART",1,"pl","Dompierre","kuvɛrt",NA
"305","Couvrir","INF/PART",2,"pl","Dompierre","kuvɛrt(ɑ)",NA
"306","Couvrir","INF/PART",3,"pl","Dompierre","ã kuvrã",NA
"307","Partir","INF/PART",1,"sg","Dompierre","(Missing)",NA
"308","Partir","INF/PART",2,"sg","Dompierre","(Missing)",NA
"309","Partir","INF/PART",3,"sg","Dompierre","(Missing)",NA
"310","Partir","INF/PART",1,"pl","Dompierre","(Missing)",NA
"311","Partir","INF/PART",2,"pl","Dompierre","(Missing)",NA
"312","Partir","INF/PART",3,"pl","Dompierre","(Missing)",NA
